市場別,報告年度,公司代號,公司名稱,再生能源使用率,資料範圍,驗證狀態,網絡中心性,漂綠標籤,風險等級,異常標籤
上市,2021,1730,花仙子,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1731,美吾華,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1732,毛寶,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1733,五鼎,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1734,杏輝,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1735,日勝化,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1736,喬山,0.0,nan,Unknown,0.0012067578439259854,可能漂綠,高風險,正常
上市,2021,1737,臺鹽,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1752,南光,1.0791,"屋頂型太陽能2021年發電212,861度",Unknown,0.0012067578439259854,無漂綠跡象,高風險,正常
上市,2021,1760,寶齡富錦,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1762,中化生,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1773,勝一,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1776,展宇,0.0,nan,Unknown,0.0008045052292839903,可能漂綠,高風險,正常
上市,2021,1783,和康生,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1786,科妍,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1789,神隆,0.534,"僅母公司(於2021年外購電力32,253,016度，太陽能發電172,218度)",Unknown,0.004022526146419951,無漂綠跡象,高風險,正常
上市,2021,1795,美時,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1802,台玻,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1805,寶徠,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1806,冠軍,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1808,潤隆,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1809,中釉,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
上市,2021,1810,和成,0.0,nan,ISO 9001,0.00040225261464199515,無漂綠跡象,低風險,正常
上市,2021,1817,凱撒衛,0.0,nan,Unknown,0.00040225261464199515,可能漂綠,高風險,正常
