市場別,報告年度,公司代號,公司名稱,法說會次數,治理專區連結,網絡中心性,風險等級,異常標籤
上市,2021,2031,新光鋼,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2032,新鋼,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2033,佳大,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2034,允強,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2038,海光,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2049,上銀,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,2059,川湖,6.0,0,0.0005330490405117271,中風險,正常
上市,2021,2062,橋椿,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2069,運錩,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2101,南港,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2102,泰豐,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2103,台橡,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2104,國際中橡,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2105,正新,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2106,建大,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2107,厚生,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2108,南帝,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2109,華豐,0.0,0,0.0005330490405117271,低風險,正常
上市,2021,2114,鑫永銓,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2115,六暉-KY,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2201,裕隆,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2204,中華,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2206,三陽工業,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2207,和泰車,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2208,台船,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2211,長榮鋼,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2227,裕日車,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2228,劍麟,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2231,為升,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,2233,宇隆,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2236,百達-KY,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2239,英利-KY,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2241,艾姆勒,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2243,宏旭-KY,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2247,汎德永業,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2250,IKKA-KY,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2301,光寶科,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2302,麗正,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2303,聯電,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2305,全友,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2308,台達電,43.0,0,0.0005330490405117271,高風險,異常
上市,2021,2312,金寶,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2313,華通,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2314,台揚,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2316,楠梓電,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2317,鴻海,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2321,東訊,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2323,中環,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2324,仁寶,13.0,0,0.0005330490405117271,高風險,異常
上市,2021,2327,國巨,34.0,0,0.0005330490405117271,高風險,異常
上市,2021,2328,廣宇,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2329,華泰,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2330,台積電,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2331,精英,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2332,友訊,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2337,旺宏,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2338,光罩,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2340,台亞,3.0,0,0.0005330490405117271,中風險,正常
上市,2021,2342,茂矽,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2344,華邦電,2.0,0,0.0005330490405117271,低風險,正常
上市,2021,2345,智邦,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2347,聯強,5.0,0,0.0005330490405117271,中風險,正常
上市,2021,2348,海悅,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2349,錸德,1.0,0,0.0005330490405117271,低風險,正常
上市,2021,2351,順德,6.0,0,0.0005330490405117271,中風險,正常
上市,2021,2352,佳世達,4.0,0,0.0005330490405117271,中風險,正常
上市,2021,2353,宏碁,12.0,0,0.0005330490405117271,高風險,異常
