市場別,報告年度,公司代號,公司名稱,薪酬委員會席次,薪酬委員會獨立董事席次,薪酬委員會出席率,審計委員會席次,審計委員會出席率,網絡中心性,風險等級,漂綠標籤,異常標籤
上市,2023,1762,中化生,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1773,勝一,4,4,1.0,4,0.9444,0.0005452562704471102,中風險,正常,正常
上市,2023,1776,展宇,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1783,和康生,3,3,1.0,3,0.94,0.0005452562704471102,低風險,正常,正常
上市,2023,1786,科妍,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1789,神隆,5,5,1.0,5,1.0,0.0005452562704471102,中風險,正常,異常
上市,2023,1795,美時,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1802,台玻,3,2,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,1805,寶徠,3,3,0.8889,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,1806,冠軍,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1808,潤隆,3,2,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,1809,中釉,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1810,和成,3,2,0.8333,3,0.8333,0.0005452562704471102,低風險,正常,正常
上市,2023,1817,凱撒衛,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1903,士紙,3,3,1.0,3,0.8333,0.0005452562704471102,低風險,正常,正常
上市,2023,1904,正隆,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1905,華紙,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1906,寶隆,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,1907,永豐餘,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,1909,榮成,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2002,中鋼,5,3,1.0,3,1.0,0.0005452562704471102,中風險,正常,異常
上市,2023,2006,東和鋼鐵,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2007,燁興,3,3,0.8333,3,0.9583,0.0005452562704471102,低風險,正常,正常
上市,2023,2008,高興昌,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2009,第一銅,3,3,0.8333,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,2010,春源,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2012,春雨,3,3,1.0,3,0.03,0.0005452562704471102,低風險,正常,正常
上市,2023,2013,中鋼構,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2014,中鴻,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2015,豐興,3,3,0.9167,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,2017,官田鋼,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2020,美亞,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2022,聚亨,3,3,0.8333,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,2023,燁輝,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2024,志聯,3,2,1.0,2,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2025,千興,3,2,1.0,3,0.95,0.0005452562704471102,低風險,正常,正常
上市,2023,2027,大成鋼,3,3,1.0,4,0.965,0.0005452562704471102,低風險,正常,正常
上市,2023,2028,威致,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2029,盛餘,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2030,彰源,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2031,新光鋼,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2032,新鋼,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2033,佳大,3,3,1.0,3,0.9167,0.0005452562704471102,低風險,正常,正常
上市,2023,2034,允強,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2038,海光,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2049,上銀,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2059,川湖,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2062,橋椿,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2069,運錩,3,3,1.0,4,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2101,南港,3,3,1.0,3,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,2102,泰豐,3,3,0.7778,3,0.9524,0.0005452562704471102,低風險,正常,正常
上市,2023,2103,台橡,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2104,國際中橡,3,3,1.0,4,0.92,0.0005452562704471102,低風險,正常,正常
上市,2023,2105,正新,3,2,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2106,建大,3,2,1.0,3,0.9444,0.0005452562704471102,低風險,正常,正常
上市,2023,2107,厚生,3,2,0.9286,2,0.9333,0.0005452562704471102,低風險,正常,正常
上市,2023,2108,南帝,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2109,華豐,3,3,0.8333,3,0.95,0.0005452562704471102,低風險,正常,正常
上市,2023,2114,鑫永銓,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2115,六暉-KY,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2201,裕隆,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2204,中華,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2206,三陽工業,4,4,1.0,4,1.0,0.0005452562704471102,中風險,正常,正常
上市,2023,2207,和泰車,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2208,台船,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2211,長榮鋼,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2227,裕日車,3,3,1.0,3,1.0,0.0005452562704471102,低風險,正常,正常
上市,2023,2228,劍麟,3,3,0.9167,3,0.8667,0.0005452562704471102,低風險,正常,正常
