報告年度:2021,議題:廢棄物管理,議題:水資源管理,議題:溫室氣體排放,議題:能源管理,報告年度:2022,報告年度:2023
百萬營業額,ISO 14001,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
公噸/百萬營業額(其中99.54%為廠內回收再利用),ISO 14001,,,,,
,,,,,,
百萬工時,,,,,,
,,,,,,
營業額,,,,,,
單位銷售產出量 KG/L,,,,,,
產品,,,,,,
,ISO 14001,,,,,
員工人數,ISO 14001,,,,,
人,,,,,,
,,,,,,
廢棄物量密集度(1457.95)/其他-營收百萬元(1681.905),,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
,ISO 14001,,,,,
用水密集度-單位,,取得驗證-取得驗證,,,,
產品,,ISO 9001,,,,
產品,,,,,,
"營業額 2,197,183 (仟元)",,,,,,
產值(新台幣千元),,,,,,
產品,,,,,,
,,,,,,
產品,,,,,,
產品,,,,,,
營業額,,,,,,
,,,,,,
,,ISO 14001,,,,
,,,,,,
營業收入千萬元,,,,,,
產品,,,,,,
營業額,,,,,,
營業額,,,,,,
營業額(億元),,,,,,
,,,,,,
萬元營業額,,,,,,
營業額;單位為新台幣佰萬元,,,,,,
百萬營業額,,,,,,
黃豆總加工量,,,,,,
分母以營業額為百萬元之計算,,,,,,
產品,,,,,,
營業額,,,,,,
營業額,,,,,,
營業額,,,,,,
耗水量/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.73,,ISO 14001,,,,
單位:公噸/110年個體營業額(千元)。,,ISO 14001,,,,
產品,,ISO 14001,,,,
產品,,,,,,
百萬營業額,,,,,,
產品,,,,,,
產品,,,,,,
產品,,,,,,
營業額,,,,,,
,,,,,,
"用水量:8,856,000公噸，營業收入:35,163,380仟元",,,,,,
,,,,,,
,,,,,,
百萬營業額,,,,,,
產品,,,,,,
台灣永裕 (71740)/1907428千元=0.0376,,,,,,
營業額,,,,,,
,,,,,,
營業額億元,,ISO 14001,,,,
,,,,,,
平方米(建築面積),,,,,,
,,,,,,
,,,,,,
產品,,ISO 14001,,,,
,,,,,,
產品,,ISO 14001,,,,
產品,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
元營業額,,,,,,
,,,,,,
營業額 百萬元(新台幣),,,,,,
無生產活動，以平均每月用水量計算,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
產量公噸,,ISO 14001,,,,
,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
產品,,,,,,
產品,,,,,,
產品,,,,,,
仟元營業額,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
服務,,,,,,
員工人數,,,,,,
產品,,,,,,
產品,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
產量,,,,,,
,,,,,,
,,,,,,
產品,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
營業額(百萬元),,ISO 14001,,,,
百萬公升/百萬元營業額,,,,,,
營業額,,,,,,
,,,,,,
,,,,,,
營業額,,,,,,
,,,,,,
