"報告年度:2023","議題:董事會"
"公司代號","公司名稱"," 董事會席次(席)- 董事會席次(席)","獨立董事席次(席)-獨立董事席次(席)","董事出席董事會出席率-董事出席董事會出席率","董事進修時數符合進修要點比率-董事進修時數符合進修要點比率","女性董事席次及比率-席","女性董事席次及比率-比率"
"=""4550""","長佳","5","3","97.50%","100.00%","2","40.00%"
"=""4554""","橙的","7","3","100.00%","86.00%","1","14.00%"
"=""4556""","旭然","7","3","100.00%","100.00%","1","14.29%"
"=""4558""","寶緯","9","4","100.00%","100.00%","0","0.00%"
"=""4561""","健椿","7","3","92.86%","100.00%","4","57.14%"
"=""4563""","百德","9","4","90.74%","44.44%","1","11.11%"
"=""4568""","科際精密","7","3","100.00%","100.00%","0","0.00%"
"=""4577""","達航科技","7","3","100.00%","100.00%","1","14.29%"
"=""4580""","捷流閥業","9","3","95.56%","100.00%","4","44.44%"
"=""4584""","君帆","9","4","100.00%","77.78%","1","11.11%"
"=""4609""","唐鋒","7","3","89.29%","0.00%","1","14.29%"
"=""4702""","中美實","6","3","100.00%","58.33%","1","16.67%"
"=""4706""","大恭","7","3","100.00%","42.86%","1","14.29%"
"=""4707""","磐亞","7","3","87.50%","71.42%","0","0.00%"
"=""4711""","永純","9","3","88.89%","88.89%","2","22.22%"
"=""4714""","永捷","7","4","100.00%","100.00%","2","28.57%"
"=""4716""","大立","9","3","98.41%","100.00%","3","33.33%"
"=""4721""","美琪瑪","7","4","95.00%","100.00%","0","0.00%"
"=""4726""","永昕","9","3","94.44%","100.00%","4","44.44%"
"=""4728""","雙美","15","3","94.67%","86.67%","2","13.00%"
"=""4729""","熒茂","7","3","90.48%","100.00%","1","14.29%"
"=""4735""","豪展","9","3","100.00%","11.11%","1","11.11%"
"=""4741""","泓瀚","9","4","88.88%","100.00%","1","11.11%"
"=""4743""","合一","7","4","97.62%","100.00%","3","43.00%"
"=""4744""","皇將","8","4","91.57%","100.00%","2","28.57%"
"=""4745""","合富-KY","9","4","95.06%","100.00%","2","22.22%"
"=""4747""","強生製藥","8","3","87.93%","100.00%","2","25.00%"
"=""4754""","國碳科","9","3","100.00%","100.00%","0","0.00%"
"=""4760""","勤凱科技","6","2","95.00%","100.00%","1","16.67%"
"=""4767""","誠泰科技","7","3","96.00%","100.00%","1","14.00%"
"=""4768""","晶呈科技","7","3","100.00%","100.00%","0","0.00%"
"=""4804""","大略-KY","5","2","72.00%","100.00%","0","0.00%"
"=""4806""","昇華","9","3","100.00%","100.00%","2","23.00%"
"=""4903""","聯光通","7","3","97.01%","71.43%","3","42.86%"
"=""4905""","台聯電","7","3","98.21%","100.00%","1","14.29%"
"=""4907""","富宇","7","3","85.71%","42.85%","0","0.00%"
"=""4908""","前鼎","7","3","71.43%","42.86%","1","14.29%"
"=""4909""","新復興","7","4","89.00%","100.00%","1","14.00%"
"=""4911""","德英","7","4","97.14%","100.00%","0","0.00%"
"=""4923""","力士","9","3","97.78%","100.00%","1","11.11%"
"=""4924""","欣厚-KY","10","3","91.11%","100.00%","1","10.00%"
"=""4931""","新盛力","7","3","99.00%","100.00%","1","14.29%"
"=""4933""","友輝","9","3","85.00%","85.00%","1","11.11%"
"=""4939""","亞電","9","4","96.30%","100.00%","1","11.11%"
"=""4945""","陞達科技","9","3","100.00%","100.00%","2","22.22%"
"=""4946""","辣椒","7","3","90.94%","100.00%","2","28.57%"
"=""4951""","精拓科","5","3","100.00%","100.00%","0","0.00%"
"=""4953""","緯軟","9","5","100.00%","100.00%","2","22.22%"
"=""4966""","譜瑞-KY","7","3","100.00%","100.00%","1","14.29%"
"=""4971""","IET-KY","8","4","92.50%","100.00%","1","12.50%"
"=""4972""","湯石照明","7","3","100.00%","100.00%","1","14.28%"
"=""4973""","廣穎電通","8","4","96.88%","100.00%","1","12.50%"
"=""4974""","亞泰","8","4","93.33%","100.00%","1","12.50%"
"=""4979""","華星光","8","3","94.12%","100.00%","1","12.50%"
"=""4987""","科誠","7","3","100.00%","100.00%","0","0.00%"
"=""4991""","環宇-KY","7","3","98.21%","71.43%","1","14.29%"
"=""4995""","晶達","6","3","92.00%","100.00%","1","11.00%"
