"報告年度:2023","議題:溫室氣體排放"
"公司代號","公司名稱","直接(範疇一)溫室氣體-數據(公噸CO₂e)","直接(範疇一)溫室氣體-資料邊界","直接(範疇一)溫室氣體-確信範圍","能源間接(範疇二)溫室氣體-數據(公噸CO₂e)","能源間接(範疇二)溫室氣體-資料邊界","能源間接(範疇二)溫室氣體-確信範圍","其他間接(範疇三)溫室氣體-數據(公噸CO₂e)","其他間接(範疇三)溫室氣體-資料邊界","其他間接(範疇三)溫室氣體-確信範圍","溫室氣體排放密集度-密集度(公噸CO₂e/百萬元營業額)"
"=""3236""","千如","358.6245","台灣楊梅一廠、台灣楊梅二廠、上海廠、廣州廠、馬來西亞廠","N/A","5,345.8311","台灣楊梅一廠、台灣楊梅二廠、上海廠、廣州廠、馬來西亞廠","N/A","1,651.6067","台灣楊梅一廠、台灣楊梅二廠、上海廠、廣州廠、馬來西亞廠","N/A","0.3500"
"=""3252""","海灣","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3259""","鑫創","2.4830","母公司","N/A","139.4840","母公司","N/A","0.0000","母公司","N/A","0.0090"
"=""3260""","威剛","78.0593","台北總公司、中和一廠、中和二廠","台北總公司、中和一廠、中和二廠 ","924.5208","台北總公司、中和一廠、中和二廠 ","台北總公司、中和一廠、中和二廠 ","127,434.1314","台北總公司、中和一廠、中和二廠  ","台北總公司、中和一廠、中和二廠","0.0298"
"=""3264""","欣銓","3,292.0000","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","106,658.0000","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","282,934.0000","欣銓總部、子公司(新加坡、韓國、南京及全智科技)","欣銓總部、子公司(新加坡、南京及全智科技)","27.8000"
"=""3265""","台星科","3,648.6067","包含合併財務報表之母子公司","包含合併財務報表之母子公司","28,744.0560","包含合併財務報表之母子公司","包含合併財務報表之母子公司","5,666.7690","包含合併財務報表之母子公司","包含合併財務報表之母子公司","8.8316"
"=""3268""","海德威","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
"=""3272""","東碩","124.2023","資料涵蓋 母公司及東碩昆山","資料涵蓋 母公司及東碩昆山","1,490.3617","資料涵蓋 母公司及東碩昆山","資料涵蓋 母公司及東碩昆山","5,796.0101","資料涵蓋 母公司及東碩昆山","資料涵蓋 母公司及東碩昆山","0.5327"
"=""3276""","宇環","1,632.3580","子公司-志昱 ","N/A","15,881.2830","子公司-志昱","N/A","18,198.1270","子公司-志昱","N/A","14.1100"
"=""3284""","太普高","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",""
