"報告年度:2023","議題:能源管理"
"公司代號","公司名稱","再生能源使用率-再生能源使用率","資料範圍-資料範圍","驗證標準-取得驗證"
"=""6158""","禾昌","N/A","N/A","N/A"
"=""6160""","欣技","N/A","N/A","N/A"
"=""6161""","捷波","N/A","N/A","N/A"
"=""6163""","華電網","N/A","N/A","N/A"
"=""6167""","久正","N/A","N/A","N/A"
"=""6169""","昱泉","N/A","N/A","N/A"
"=""6170""","統振","N/A","N/A","N/A"
"=""6171""","大城地產","N/A","N/A","N/A"
"=""6173""","信昌電","0.0000%","母公司台灣工廠","N/A"
"=""6174""","安碁","N/A","N/A","ISO 50001"
"=""6175""","立敦","N/A","N/A","N/A"
"=""6179""","亞通","N/A","N/A","N/A"
"=""6180""","橘子","12.5800%","包含內湖總部大樓及承租之數據機房。","N/A"
"=""6182""","合晶","1.2700%","台灣地區楊梅廠與龍潭廠","ISO 50001"
