"報告年度:2023","議題:功能性委員會"
"公司代號","公司名稱","薪酬委員會席次(席)-薪酬委員會席次(席)","薪酬委員會獨立董事席次(席)-薪酬委員會獨立董事席次(席)","薪酬委員會出席率-薪酬委員會出席率","審計委員會席次(席)-審計委員會席次(席)","審計委員會出席率-審計委員會出席率"
"=""4530""","宏易","3","3","100.00%","3","100.00%"
"=""4533""","協易機","3","3","100.00%","3","100.00%"
"=""4534""","慶騰","3","3","100.00%","3","100.00%"
"=""4535""","至興","3","3","100.00%","3","100.00%"
"=""4538""","大詠城","3","3","100.00%","3","100.00%"
"=""4541""","晟田","3","3","100.00%","3","100.00%"
"=""4542""","科嶠","3","3","100.00%","3","93.33%"
"=""4543""","萬在","3","3","100.00%","3","100.00%"
"=""4549""","桓達","3","3","100.00%","3","100.00%"
"=""4550""","長佳","3","3","100.00%","3","100.00%"
"=""4554""","橙的","3","3","100.00%","3","95.00%"
"=""4556""","旭然","3","3","100.00%","3","100.00%"
"=""4558""","寶緯","3","3","100.00%","4","100.00%"
"=""4561""","健椿","3","3","100.00%","3","86.67%"
"=""4563""","百德","3","3","100.00%","4","100.00%"
"=""4568""","科際精密","3","3","100.00%","3","100.00%"
"=""4577""","達航科技","3","3","100.00%","3","100.00%"
"=""4580""","捷流閥業","3","3","100.00%","3","100.00%"
"=""4584""","君帆","4","4","100.00%","4","100.00%"
"=""4609""","唐鋒","3","3","100.00%","3","91.67%"
"=""4702""","中美實","3","3","100.00%","3","100.00%"
"=""4706""","大恭","3","3","100.00%","3","100.00%"
"=""4707""","磐亞","3","3","100.00%","3","93.33%"
"=""4711""","永純","3","3","88.89%","3","93.33%"
"=""4714""","永捷","3","3","100.00%","4","100.00%"
"=""4716""","大立","3","2","100.00%","3","100.00%"
"=""4721""","美琪瑪","3","3","100.00%","3","100.00%"
"=""4726""","永昕","3","3","93.33%","3","94.44%"
"=""4728""","雙美","5","3","93.33%","3","100.00%"
"=""4729""","熒茂","3","3","100.00%","3","83.33%"
"=""4735""","豪展","3","3","100.00%","3","100.00%"
"=""4741""","泓瀚","4","4","100.00%","4","100.00%"
"=""4743""","合一","4","4","100.00%","4","97.73%"
"=""4744""","皇將","3","3","100.00%","4","100.00%"
"=""4745""","合富-KY","3","2","100.00%","4","95.24%"
"=""4747""","強生製藥","3","2","100.00%","3","100.00%"
"=""4754""","國碳科","3","3","98.00%","3","98.00%"
"=""4760""","勤凱科技","3","2","100.00%","2","100.00%"
"=""4767""","誠泰科技","3","3","100.00%","3","100.00%"
"=""4768""","晶呈科技","3","3","100.00%","3","100.00%"
