"報告年度:2023","議題:廢棄物管理"
"公司代號","公司名稱","有害廢棄物(公噸(t))-有害廢棄物(公噸(t))","非有害廢棄物(公噸(t))-非有害廢棄物(公噸(t))","總重量(有害+非有害)(公噸(t))-總重量(有害+非有害)(公噸(t))","資料範圍-資料範圍","廢棄物密集度-廢棄物密集度","密集度單位-密集度單位","驗證標準-取得驗證"
"=""3594""","磐儀","0.1969","0.9961","1.1930","新北市中和區建康路119號7樓","0.0010","廢棄物量/百萬元營業額","N/A"
"=""3597""","映興","0.0000","1.7930","1.7930","環境部「事業廢棄物申報及管理資訊系統」官網","0.0029","廢棄物量/百萬元營業額","ISO 14001"
"=""3609""","三一東林","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3611""","鼎翰","0.1300","123.0950","123.2250","宜蘭縣五結鄉利工一路二段35號","N/A","N/A","ISO 14001"
"=""3615""","安可","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3623""","富晶通","7.4300","133.6300","141.0600","112年度/單一公司","0.3833","廢棄物量/百萬元營業額","N/A"
"=""3624""","光頡","252.9000","129.4000","382.3000","母公司","0.1690","廢棄物量/百萬元營業額","N/A"
"=""3625""","西勝","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3628""","盈正","0.2100","5.2400","5.4500","台北辦公室與屏東廠。","0.0023","廢棄物量/百萬元營業額","N/A"
"=""3629""","地心引力","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3630""","新鉅科","0.0000","10.7400","10.7400","母公司","0.0097","廢棄物量/百萬元營業額","ISO 14001"
"=""3631""","晟楠","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3632""","研勤","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3646""","艾恩特","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3663""","鑫科","29.9700","115.7800","145.7500","廠址高雄市路竹區路科八路1號","0.3830","廢棄物量/產品","ISO 14001"
"=""3664""","安瑞-KY","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3666""","光耀","N/A","N/A","N/A","N/A","N/A","N/A","ISO 9001,ISO 14001"
"=""3672""","康聯訊","0.1050","0.7230","0.8280","母公司","N/A","N/A","N/A"
"=""3675""","德微","2.8800","183.1430","186.0230","以個體財務報表母公司為主","0.1192","廢棄物量/產品","N/A"
"=""3680""","家登","0.0000","310.6145","310.6145","家登精密工業股份有限公司樹谷廠、復興廠","0.0888","廢棄物量/百萬元營業額","N/A"
"=""3684""","榮昌","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"=""3685""","元創精密","N/A","4,213.0000","4,213.0000","合併財務報表之母子公司","2.7737","其他(公噸/仟元營業額)","N/A"
"=""3687""","歐買尬","0.0000","2.1120","2.1120","僅母公司","N/A","N/A","N/A"
